STATE,POP2019,POP2018,POP2017,POP2016,POP2015,POP2014,POP2013
Alabama,4903185,4887871,4874747,4863300,4858979,4849377,4833722
Alaska,731545,737438,739795,741894,738432,736732,735132
Arizona,7278717,7171646,7016270,6931071,6828065,6731484,6626624
Arkansas,3017804,3013825,3004279,2988248,2978204,2966369,2959373
California,39512223,39557045,39536653,39250017,39144818,38802500,38332521
Colorado,5758736,5695564,5607154,5540545,5456574,5355866,5268367
Connecticut,3565287,3572665,3588184,3576452,3590886,3596677,3596080
Delaware,973764,967171,961939,952065,945934,935614,925749
District of Columbia,705749,702455,693972,681170,672228,658893,646449
Florida,21477737,21299325,20984400,20612439,20271272,19893297,19552860
Georgia,10617423,10519475,10429379,10310371,10214860,10097343,9992167
Hawaii,1415872,1420491,1427538,1428557,1431603,1419561,1404054
Idaho,1787065,1754208,1716943,1683140,1654930,1634464,1612136
Illinois,12671821,12741080,12802023,12801539,12859995,12880580,12882135
Indiana,6732219,6691878,6666818,6633053,6619680,6596855,6570902
Iowa,3155070,3156145,3145711,3134693,3123899,3107126,3090416
Kansas,2913314,2911510,2913123,2907289,2911641,2904021,2893957
Kentucky,4467673,4468402,4454189,4436974,4425092,4413457,4395295
Louisiana,4648794,4659978,4684333,4681666,4670724,4649676,4625470
Maine,1344212,1338404,1335907,1331479,1329328,1330089,1328302
Maryland,6045680,6042718,6052177,6016447,6006401,5976407,5928814
Massachusetts,6892503,6902149,6859819,6811779,6794422,6745408,6692824
Michigan,9986857,9995915,9962311,9928300,9922576,9909877,9895622
Minnesota,5639632,5611179,5576606,5519952,5489594,5457173,5420380
Mississippi,2976149,2986530,2984100,2988726,2992333,2994079,2991207
Missouri,6137428,6126452,6113532,6093000,6083672,6063589,6044171
Montana,1068778,1062305,1050493,1042520,1032949,1023579,1015165
Nebraska,1934408,1929268,1920076,1907116,1896190,1881503,1868516
Nevada,3080156,3034392,2998039,2940058,2890845,2839099,2790136
New Hampshire,1359711,1356458,1342795,1334795,1330608,1326813,1323459
New Jersey,8882190,8908520,9005644,8944469,8958013,8938175,8899339
New Mexico,2096829,2095428,2088070,2081015,2085109,2085572,2085287
New York,19453561,19542209,19849399,19745289,19795791,19746227,19651127
North Carolina,10488084,10383620,10273419,10146788,10042802,9943964,9848060
North Dakota,762062,760077,755393,757953,756928,739482,723393
Ohio,11689100,11689442,11658609,11614373,11613423,11594163,11570808
Oklahoma,3956971,3943079,3930864,3923561,3911338,3878051,3850568
Oregon,4217737,4190713,4142776,4093465,4028977,3970239,3930065
Pennsylvania,12801989,12807060,12805537,12784227,12802503,12787209,12773801
Rhode Island,1059361,1057315,1059639,1056426,1056298,1055173,1051511
South Carolina,5148714,5084127,5024369,4961119,4896146,4832482,4774839
South Dakota,884659,882235,869666,865454,858469,853175,844877
Tennessee,6829174,6770010,6715984,6651194,6600299,6549352,6495978
Texas,28995881,28701845,28304596,27862596,27469114,26956958,26448193
Utah,3205958,3161105,3101833,3051217,2995919,2942902,2900872
Vermont,623989,626299,623657,624594,626042,626562,626630
Virginia,8535519,8517685,8470020,8411808,8382993,8326289,8260405
Washington,7614893,7535591,7405743,7288000,7170351,7061530,6971406
West Virginia,1792147,1805832,1815857,1831102,1844128,1850326,1854304
Wisconsin,5822434,5813568,5795483,5778709,5771337,5757564,5742713
Wyoming,578759,577737,579315,585501,586107,584153,582658
Puerto Rico,3193694,3195153,3337177,3411307,3474182,3548397,3615086
